"year","five_year_mean"
 1882,-0.19
 1883,-0.19
 1884,-0.22
 1885,-0.25
 1886,-0.25
 1887,-0.21
 1888,-0.23
 1889,-0.23
 1890,-0.23
 1891,-0.27
 1892,-0.31
 1893,-0.30
 1894,-0.28
 1895,-0.25
 1896,-0.25
 1897,-0.22
 1898,-0.20
 1899,-0.21
 1900,-0.23
 1901,-0.24
 1902,-0.29
 1903,-0.32
 1904,-0.33
 1905,-0.35
 1906,-0.36
 1907,-0.37
 1908,-0.40
 1909,-0.44
 1910,-0.44
 1911,-0.43
 1912,-0.38
 1913,-0.32
 1914,-0.31
 1915,-0.31
 1916,-0.30
 1917,-0.31
 1918,-0.33
 1919,-0.30
 1920,-0.27
 1921,-0.26
 1922,-0.25
 1923,-0.24
 1924,-0.22
 1925,-0.20
 1926,-0.18
 1927,-0.19
 1928,-0.17
 1929,-0.17
 1930,-0.15
 1931,-0.17
 1932,-0.12
 1933,-0.13
 1934,-0.14
 1935,-0.11
 1936,-0.05
 1937,-0.03
 1938, 0.01
 1939, 0.05
 1940, 0.05
 1941, 0.05
 1942, 0.08
 1943, 0.07
 1944, 0.04
 1945, 0.02
 1946,-0.01
 1947,-0.06
 1948,-0.10
 1949,-0.10
 1950,-0.09
 1951,-0.05
 1952,-0.05
 1953,-0.04
 1954,-0.06
 1955,-0.06
 1956,-0.07
 1957,-0.04
 1958,-0.02
 1959, 0.02
 1960, 0.02
 1961, 0.03
 1962,-0.02
 1963,-0.03
 1964,-0.05
 1965,-0.06
 1966,-0.08
 1967,-0.03
 1968,-0.00
 1969,-0.01
 1970, 0.00
 1971, 0.04
 1972, 0.02
 1973, 0.01
 1974,-0.01
 1975, 0.02
 1976,-0.00
 1977, 0.04
 1978, 0.09
 1979, 0.17
 1980, 0.16
 1981, 0.20
 1982, 0.20
 1983, 0.17
 1984, 0.14
 1985, 0.18
 1986, 0.20
 1987, 0.22
 1988, 0.28
 1989, 0.33
 1990, 0.31
 1991, 0.28
 1992, 0.29
 1993, 0.30
 1994, 0.29
 1995, 0.35
 1996, 0.43
 1997, 0.45
 1998, 0.45
 1999, 0.49
 2000, 0.52
 2001, 0.51
 2002, 0.54
 2003, 0.59
 2004, 0.60
 2005, 0.60
 2006, 0.58
 2007, 0.60
 2008, 0.60
 2009, 0.59
 2010, 0.58
