"year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
1880,-0.33,-0.26,-0.21,-0.29,-0.16,-0.23,-0.18,-0.11,-0.19,-0.18,-0.16,-0.21
1881,-0.12,-0.14,0,-0.01,-0.01,-0.24,-0.1,-0.05,-0.16,-0.21,-0.26,-0.16
1882,0,0.04,0.06,0,-0.22,-0.18,-0.3,-0.25,-0.09,-0.1,-0.24,-0.23,-0.36
1883,-0.37,-0.36,-0.11,-0.18,-0.19,-0.06,-0.01,-0.12,-0.18,-0.18,-0.27,-0.18
1884,-0.18,-0.12,-0.29,-0.34,-0.32,-0.34,-0.3,-0.23,-0.27,-0.24,-0.27,-0.24
1885,-0.55,-0.27,-0.17,-0.35,-0.33,-0.39,-0.26,-0.23,-0.16,-0.13,-0.12,0.03
1886,-0.36,-0.41,-0.32,-0.22,-0.2,-0.28,-0.1,-0.19,-0.1,-0.21,-0.26,-0.15
1887,-0.57,-0.41,-0.24,-0.31,-0.27,-0.24,-0.17,-0.27,-0.22,-0.31,-0.27,-0.39
1888,-0.41,-0.39,-0.38,-0.23,-0.25,-0.19,-0.09,-0.12,-0.09,-0.02,0,-0.09
1889,-0.17,0.17,0.09,0.09,0.01,-0.08,-0.11,-0.17,-0.16,-0.2,-0.3,-0.28
1890,-0.39,-0.35,-0.35,-0.32,-0.42,-0.27,-0.23,-0.31,-0.29,-0.2,-0.43,-0.28
1891,-0.41,-0.48,-0.17,-0.26,-0.19,-0.25,-0.24,-0.2,-0.15,-0.26,-0.39,-0.11
1892,-0.34,-0.13,-0.35,-0.37,-0.33,-0.3,-0.33,-0.27,-0.19,-0.16,-0.47,-0.42
1893,-0.84,-0.57,-0.27,-0.34,-0.43,-0.33,-0.16,-0.27,-0.22,-0.21,-0.2,-0.36
1894,-0.53,-0.33,-0.24,-0.46,-0.37,-0.4,-0.25,-0.21,-0.24,-0.22,-0.33,-0.25
1895,-0.49,-0.48,-0.29,-0.23,-0.29,-0.26,-0.18,-0.17,-0.08,-0.12,-0.15,-0.19
1896,-0.3,-0.2,-0.33,-0.38,-0.23,-0.16,-0.09,-0.09,-0.06,0.04,-0.16,-0.12
1897,-0.21,-0.21,-0.22,-0.11,-0.1,-0.22,-0.12,-0.17,-0.12,-0.18,-0.24,-0.27
1898,-0.12,-0.38,-0.55,-0.34,-0.35,-0.24,-0.26,-0.26,-0.22,-0.35,-0.39,-0.25
1899,-0.2,-0.38,-0.35,-0.2,-0.25,-0.35,-0.19,-0.13,-0.06,-0.06,0.07,-0.29
1900,-0.37,-0.03,0.01,-0.15,-0.15,-0.21,-0.19,-0.15,-0.15,-0.05,-0.19,-0.13
1901,-0.32,-0.07,0.01,-0.12,-0.23,-0.17,-0.17,-0.22,-0.24,-0.35,-0.25,-0.33
1902,-0.2,-0.02,-0.28,-0.3,-0.34,-0.37,-0.28,-0.31,-0.25,-0.34,-0.41,-0.46
1903,-0.25,0,-0.19,-0.38,-0.39,-0.46,-0.35,-0.42,-0.43,-0.46,-0.44,-0.52
1904,-0.65,-0.55,-0.42,-0.49,-0.49,-0.43,-0.45,-0.42,-0.45,-0.36,-0.17,-0.25
1905,-0.32,-0.59,-0.27,-0.33,-0.3,-0.3,-0.29,-0.25,-0.2,-0.26,-0.11,-0.23
1906,-0.29,-0.31,-0.14,-0.06,-0.23,-0.25,-0.31,-0.24,-0.29,-0.27,-0.47,-0.2
1907,-0.45,-0.53,-0.32,-0.44,-0.5,-0.45,-0.37,-0.35,-0.31,-0.25,-0.52,-0.51
