附件6,,,,,,,,
抽样监测单位名单(第二批）,,,,,,,,
序号,受检单位,样品名称,规格型号,样品等级,综合判定,抽样地点,报告编号,备注
1,美食林千鹤店  ,金龙鱼特香花生油,5升/桶,一级,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0136)号,
2,美食林千鹤店  ,金鼎浓香花生油,5升/桶,一级,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0137)号,
3,美食林千鹤店  ,鲁花5S压榨一级花生油,5升/桶,一级,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0138)号,
4,阳光超市鑫域店  ,金龙鱼食用调和油,2.5升/桶,,合格,世纪大街与联防路交叉口,邯检(S)字(2015)第(L0139)号,
5,阳光超市鑫域店,名福花生葵花籽调和油,1.8升/壶,,合格,世纪大街与联防路交叉口,邯检(S)字(2015)第(L0140)号,
6,阳光超市鑫域店  ,马大姐大虾酥,,,合格,世纪大街与联纺路交叉口,邯检(S)字(2015)第(L0141)号,
7,阳光超市鑫域店  ,咀香浓优纯牛奶糖,计量称重,,合格,世纪大街与联纺路交叉口,邯检(S)字(2015)第(L0142)号,
8,美食林千鹤店,雅客维生素C果味夹心硬糖,计量称重,,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0143)号,
9,阳光超市鑫域店  ,徐福记牛奶糖,计量称重,,合格,世纪大街与联纺路交叉口,邯检(S)字(2015)第(L0144)号,
10,美食林千鹤店,华生叔叔花生酥,计量销售,,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0145)号,
11,美食林千鹤店,西凤酒,500ml/瓶    55％vol,,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0146)号,
12,美食林千鹤店,嘉宾郎酒,500ml/瓶  42%vol,优级,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0147)号,
13,阳光超市鑫域店,枝江古酒,500ml/瓶  42％vol,优级,合格,联防路与世纪大街交口,邯检(S)字(2015)第(L0148)号,
14,阳光超市鑫域店,刘伶醉酒,500ml/瓶  42%vol,优级,不合格,联防路与世纪大街交口,邯检(S)字(2015)第(L0149)号,
15,蔚庄干调市场为雪大米批发部,赵国宴葵花橄榄调和油,5升/桶,,合格,蔚庄干调市场107国道路东,邯检(S)字(2015)第(L0150)号,
16,二中粮店,满疆红大豆油,5L/桶,一级,合格,复兴商贸城西楼9号,邯检(S)字(2015)第(L0151)号,
17,隆丰调料,元宝大豆油,5升/桶,一级,合格,复兴商贸城西楼110号,邯检(S)字(2015)第(L0152)号,
18,诚信粮油商行,美食客食用调和油,5升/桶,,合格,蔚庄干调市场1,邯检(S)字(2015)第(L0153)号,
19,隆丰调料,名福一级大豆油,5升/桶,一级,合格,复兴商贸城西楼110号,邯检(S)字(2015)第(L0154)号,
20,二中粮店,厨之荣大豆油,1.6升/桶,一级,合格,复兴商贸城西楼9号,邯检(S)字(2015)第(L0155)号,
21,为雪大米批发部,川师傅菜籽油,4.5L/桶,四级,合格,蔚庄干调市场107国道路东,邯检(S)字(2015)第(L0156)号,
22,复兴区汇丰烟酒门市,洋河特曲酒,500ml/瓶 42%vol,,合格,复兴商贸城,邯检(S)字(2015)第(L0157)号,
23,天马烟酒,永不分离酒,500ml/瓶 41%vol,优级,不合格,复兴商贸城,邯检(S)字(2015)第(L0158)号,
24,天马烟酒,板城烧锅酒,500ml/瓶 41%vol,优级,合格,复兴商贸城,邯检(S)字(2015)第(L0159)号,
25,鑫利泽烟酒超市,洋河普曲酒,475ml/瓶 42%vol,,合格,政和小区2号院东侧,邯检(S)字(2015)第(L0160)号,
26,鑫利泽烟酒超市,珍品高粱酒,500ml/瓶 42%vol,,合格,政和小区2号院东侧,邯检(S)字(2015)第(L0161)号,
27,复兴区汇丰烟酒门市,古井贡酒,500ml/瓶 45%vol,优级,合格,复兴商贸城,邯检(S)字(2015)第(L0162)号,
28,福东烟酒,丛台酒,500ml/瓶 44%vol,一级,合格,东柳大街与从台北路交叉口西行200米路北,邯检(S)字(2015)第(L0163)号,
29,福东烟酒,老村长酒,450ml/瓶 42%vol,一级,合格,东柳大街与从台北路交叉口西行200米路北,邯检(S)字(2015)第(L0164)号,
30,昌盛友谊副食经营部,水果味硬质糖果,350克/盒,,合格,邯郸市陵西北大街与青年路交叉口北行50米路西,邯检(S)字(2015)第(L0165)号,
31,蓝天食品经销处,味味佳棒棒糖,17克Х30/盒,,合格,复兴商贸城109号,邯检(S)字(2015)第(L0166)号,
32,蓝天食品经销处,砂糖淀粉糖浆型硬质糖果,384克/盒,,合格,复兴商贸城109号,邯检(S)字(2015)第(L0167)号,
33,蓝天食品经销处,兵工厂水果糖,16克Х20/盒,,合格,复兴商贸城109号,邯检(S)字(2015)第(L0168)号,
34,蓝天食品经销处,新鲜奶棒糖,13克/袋Х30袋/包,,合格,复兴商贸城109号,邯检(S)字(2015)第(L0169)号,
35,蓝天食品经销处,流口水阿波糖,17gХ20/袋,,合格,复兴商贸城109号,邯检(S)字(2015)第(L0170)号,
36,蓝天食品经销处,英语ABC果味凝胶糖,288克/袋,,合格,复兴商贸城109号,邯检(S)字(2015)第(L0171)号,
37,蓝天食品经销处,维C果糖,20克Х40/盒,,合格,复兴商贸城109号,邯检(S)字(2015)第(L0172)号,
38,千鑫美食林,五粮液京酒淡雅香52度,500ml/瓶,一级,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0173)号,
39,千鑫美食林,封藏老酒绵柔52度,500ml/瓶,优级,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0174)号,
40,千鑫美食林,花生调和油,5L/桶,,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0175)号,
41,千鑫美食林,玉之醇玉米油,5升/桶,,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0176)号,
42,千鑫美食林,晶莹葡萄牛奶硬糖,150克/袋,,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0177)号,
43,千鑫美食林,大虾酥,480克/袋,,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0178)号,
44,邯郸县滏漳路便利超市,衡水老白干酒,500ml/瓶 62%vol,优级,合格,滏漳东段路北,邯检(S)字(2015)第(L0179)号,
45,邯郸县滏漳路便利超市,双沟大曲酒,500ml/瓶 50%vol,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0180)号,
46,邯郸县滏漳路便利超市,话梅糖,散装,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0181)号,
47,翟常青,东北纯粮,500ml/瓶 42%vol,一级,合格,邯山区滏漳路东段金鼎烟酒门市,邯检(S)字(2015)第(L0182)号,
48,翟常青,山庄老酒,500ml/瓶 42%vol,,合格,邯山区滏漳路东段金鼎烟酒门市,邯检(S)字(2015)第(L0183)号,
49,周建敏,龙江家园,500ml/瓶 42%vol,,合格,邯山区光明北大街与水厂路交叉口南角烟酒门市,邯检(S)字(2015)第(L0184)号,
50,周建敏,老村长,450ml/瓶 42%vol,一级,合格,邯山区光明北大街与水厂路交叉口南角烟酒门市,邯检(S)字(2015)第(L0185)号,
51,邯郸县滏漳路便利超市,金丝猴奶糖,,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0186)号,
52,邯郸县滏漳路便利超市,一级花生油,1.8升/桶,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0187)号,
