附件1,,,,,,,,,,,,,,,,,,,,,
白酒抽样监测结果汇总表(第三批）,,,,,,,,,,,,,,,,,,,,,
序号,受检单位,生产地点,经度,纬度,单位,样品名称,规格型号,样品等级,生产日期(批号),综合判定,抽样地点,抽样日期,报告编号,己酸乙酯,乳酸乙酯,乳酸乙酯/乙酸乙酯,乙酸乙酯,酒精度,邻苯二甲酸二（2-乙基）己酯(DEHP),邻苯二甲酸二丁酯(DBP),邻苯二甲酸二异壬酯(DINP)
1,美食林千鹤店,陕西,108.93,34.27,西凤酒集团股份有限公司,西凤酒,500ml/瓶  55％vol,,2012.12.3,合格,联防路与建设大街交口,3/11/15,邯检(S)字(2015)第(L0146)号,≥0.30 | 0.60,,,≥0.60 | 1.44,55.0±1.0 | 55.6,≤1.5 | 未检出,≤0.3 | 0.2,≤9.0 | 未检出
2,美食林千鹤店,四川,104.07,30.67,省古蔺郎酒厂有限公司,嘉宾郎酒,500ml/瓶  42%vol,优级,2014.11.11,合格,联防路与建设大街交口,3/11/15,邯检(S)字(2015)第(L0147)号,1.20～2.80 | 2.03,,,,42.0±1.0 | 42.3,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
3,阳光超市鑫域店,湖北,114.3,30.6,枝江酒业股份有限公司,枝江古酒,500ml/瓶  42％vol,优级,2013.12.31,合格,联防路与世纪大街交口,3/11/15,邯检(S)字(2015)第(L0148)号,1.20～2.80 | 1.54,,,,42.0±1.0 | 42.4,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
4,阳光超市鑫域店,河北,114.52,38.05,醉酒股份有限公司,刘伶醉酒,500ml/瓶  42%vol,优级,2013.09.01,不合格,联防路与世纪大街交口,3/11/15,邯检(S)字(2015)第(L0149)号,1.20～2.80 | 1.04,,,,42.0±1.0 | 42.5,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
5,复兴区汇丰烟酒门市,江苏,118.78,32.07,洋河酒厂股份有限公司,洋河特曲酒,500ml/瓶 42%vol,,2014.07.14,合格,复兴商贸城,3/12/15,邯检(S)字(2015)第(L0157)号,/ | 0.70,,,,42.0±1.0 | 42.4,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
6,天马烟酒,河北,114.52,38.05,永不分梨酒业有限公司,永不分离酒,500ml/瓶 41%vol,优级,2013.10.11,不合格,复兴商贸城,3/12/15,邯检(S)字(2015)第(L0158)号,1.20～2.80 | 1.08,,,,41.0±1.0 | 41.4,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
7,天马烟酒,河北,114.52,38.05,乾隆醉酒业有限责任公司,板城烧锅酒,500ml/瓶 41%vol,优级,2014.12.11,合格,复兴商贸城,3/12/15,邯检(S)字(2015)第(L0159)号,,,,,41.0±1.0 | 41.2,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
8,鑫利泽烟酒超市,江苏,118.78,32.07,洋河酒厂股份有限公司,洋河普曲酒,475ml/瓶 42%vol,,2014.11.24,合格,政和小区2号院东侧,3/12/15,邯检(S)字(2015)第(L0160)号,/ | 0.74,,,,42.0±1.0 | 42.3,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
9,鑫利泽烟酒超市,黑龙,126.53,45.8,江省龙江家园酒业有限公司,珍品高粱酒,500ml/瓶 42%vol,,2014.12.06,合格,政和小区2号院东侧,3/12/15,邯检(S)字(2015)第(L0161)号,,,,,42.0±1.0 | 42.1,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
10,复兴区汇丰烟酒门市,安徽,117.25,31.83,古井贡酒股份有限公司,古井贡酒,500ml/瓶 45%vol,优级,2012.10.15,合格,复兴商贸城,3/12/15,邯检(S)字(2015)第(L0162)号,≥0.50 | 1.36,,,,45.0±1.0 | 45.2,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
11,福东烟酒,河北,114.52,38.05,丛台酒业股份有限公司,丛台酒,500ml/瓶 44%vol,一级,2012.06.25,合格,东柳大街与从台北路交叉口西行200米路北,3/12/15,邯检(S)字(2015)第(L0163)号,0.60～2.50 | 0.97,,,,44.0±1.0 | 44.1,≤1.5 | 0.1,≤0.3 | 0.2,≤9.0 | 未检出
12,福东烟酒,黑龙江,,,江省老村长酒业有限公司,老村长酒,450ml/瓶 42%vol,一级,2014.10.25,合格,东柳大街与从台北路交叉口西行200米路北,3/12/15,邯检(S)字(2015)第(L0164)号,0.60～2.50 | 1.63,,,,42.0±1.0 | 42.3,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
